From	To
P13569	1XMI
P13569	1XMJ
P13569	2BBO
P13569	2BBS
P13569	2BBT
P13569	2LOB
P13569	2PZE
P13569	2PZF
P13569	2PZG
P13569	3GD7
P13569	3ISW
P13569	4WZ6
P13569	5D2D
P13569	5D3E
P13569	5D3F
P13569	5TF7
P13569	5TF8
P13569	5TFA
P13569	5TFB
P13569	5TFC
P13569	5TFD
P13569	5TFF
P13569	5TFG
P13569	5TFI
P13569	5TFJ
P13569	5TGK
P13569	5UAK
P13569	6GJQ
P13569	6GJS
P13569	6GJU
P13569	6GK4
P13569	6GKD
P13569	6HEP
P13569	6MSM
P13569	6O1V
P13569	6O2P
P13569	6UK1
P13569	6WBS
P13569	6ZE1
P13569	7QI1
P13569	7SV7
P13569	7SVD
P13569	7SVR
P13569	8EIG
P13569	8EIO
P13569	8EIQ
P13569	8EJ1
P13569	8FZQ
P13569	8GLS
P13569	8UBR
P13569	8V7Z
P13569	8V81
Q92833	5HYN
Q92833	5LS6
Q92833	5WAI
Q92833	6C23
Q92833	6C24
Q92833	6NQ3
Q92833	6WKR
Q92833	7KSO
Q92833	8TB9
Q92833	9C8U
P01730	1CDH
P01730	1CDI
P01730	1CDJ
P01730	1CDU
P01730	1CDY
P01730	1G9M
P01730	1G9N
P01730	1GC1
P01730	1JL4
P01730	1Q68
P01730	1RZJ
P01730	1RZK
P01730	1WBR
P01730	1WIO
P01730	1WIP
P01730	1WIQ
P01730	2B4C
P01730	2JKR
P01730	2JKT
P01730	2KLU
P01730	2NXY
P01730	2NXZ
P01730	2NY0
P01730	2NY1
P01730	2NY2
P01730	2NY3
P01730	2NY4
P01730	2NY5
P01730	2NY6
P01730	2QAD
P01730	3B71
P01730	3CD4
P01730	3J70
P01730	3JCB
P01730	3JCC
P01730	3JWD
P01730	3JWO
P01730	3LQA
P01730	3O2D
P01730	3S4S
P01730	3S5L
P01730	3T0E
P01730	4H8W
P01730	4JM2
P01730	4P9H
P01730	4Q6I
P01730	4R2G
P01730	4R4H
P01730	4RQS
P01730	5A7X
P01730	5A8H
P01730	5CAY
P01730	5THR
P01730	5U1F
P01730	5VN3
P01730	6CM3
P01730	6EDU
P01730	6L1Y
P01730	6MEO
P01730	6MET
P01730	6OPN
P01730	6OPO
P01730	6OPP
P01730	6OPQ
P01730	6QH6
P01730	6QH7
P01730	6U0L
P01730	6U0N
P01730	6URI
P01730	6X5B
P01730	6X5C
P01730	7T0O
P01730	7T0R
P01730	7TXD
P01730	8D5C
