,ensembl_gene_id,uniprot_id
0,ENSG00000001626,P13569
1,ENSG00000007923,Q9NVH1
2,ENSG00000008083,Q92833
3,ENSG00000010610,P01730
4,ENSG00000018280,P49279
5,ENSG00000028310,Q9H8M2
6,ENSG00000047621,Q9NQ89
7,ENSG00000047932,Q9HD26
8,ENSG00000073969,P46459
9,ENSG00000074276,Q9BYE9
10,ENSG00000075711,Q12959
11,ENSG00000076770,Q9NUK0
12,ENSG00000077009,Q9NPI5
13,ENSG00000077327,O75602
14,ENSG00000080815,P49768
15,ENSG00000083454,Q93086
16,ENSG00000085998,Q8WZA1
17,ENSG00000088305,Q9UBC3
18,ENSG00000090266,O95178
19,ENSG00000092148,Q9ULT8
20,ENSG00000092330,Q9BSI4
21,ENSG00000094914,Q9NRG9
22,ENSG00000100029,O00541
23,ENSG00000100324,Q15750
24,ENSG00000100372,O43808
25,ENSG00000100519,P62333
26,ENSG00000100926,O15321
27,ENSG00000100968,Q14934
28,ENSG00000103485,Q15274
29,ENSG00000104765,O60238
30,ENSG00000105223,Q8IV08
31,ENSG00000105576,O14787
32,ENSG00000106809,P20774
33,ENSG00000107669,O95260
34,ENSG00000108231,O95970
35,ENSG00000109956,Q9P2W7
36,ENSG00000110077,Q9H2W1
37,ENSG00000111652,Q9UBW8
38,ENSG00000113790,Q08426
39,ENSG00000114450,Q9HAV0
40,ENSG00000115718,P04070
41,ENSG00000115841,Q96LZ7
42,ENSG00000116039,P15313
43,ENSG00000116685,Q8IYS2
44,ENSG00000118495,Q9UM63
45,ENSG00000119280,Q9H425
46,ENSG00000119392,Q53GS7
47,ENSG00000123415,Q53HV7
48,ENSG00000124222,O14662
49,ENSG00000124356,O95630
50,ENSG00000125551,Q02325
51,ENSG00000127955,P63096
52,ENSG00000130226,P42658
53,ENSG00000132535,P78352
54,ENSG00000132693,P02741
55,ENSG00000134324,Q14693
56,ENSG00000135900,Q9H9J2
57,ENSG00000136206,Q8NFV5
58,ENSG00000136286,B0I1T2
59,ENSG00000137103,A6NDV4
60,ENSG00000140264,P84101
61,ENSG00000141161,Q8IWX7
62,ENSG00000141434,Q16820
63,ENSG00000143153,P05026
64,ENSG00000143556,P31151
65,ENSG00000143801,P49810
66,ENSG00000144821,Q9Y2K3
67,ENSG00000145832,Q6ZT89
68,ENSG00000146282,Q5T160
69,ENSG00000147697,Q9BYG8
70,ENSG00000148358,Q5VW38
71,ENSG00000148426,Q86WR7
72,ENSG00000149483,Q9NPI0
73,ENSG00000150672,Q15700
74,ENSG00000152969,Q96N16
75,ENSG00000154743,Q8NCE0
76,ENSG00000154889,Q53F39
77,ENSG00000156603,A0JLT2
78,ENSG00000156873,P15735
79,ENSG00000157601,P20591
80,ENSG00000159069,Q969U6
81,ENSG00000159885,Q9UK12
82,ENSG00000159921,Q9Y223
83,ENSG00000160219,Q8WWW8
84,ENSG00000160948,Q9UK41
85,ENSG00000162599,Q12857
86,ENSG00000163507,Q8TCG1
87,ENSG00000163719,Q8NCE2
88,ENSG00000164172,O96033
89,ENSG00000164172,O96007
90,ENSG00000165119,P61978
91,ENSG00000165699,Q92574
92,ENSG00000166908,Q8TBX8
93,ENSG00000167614,Q9H313
94,ENSG00000167671,Q9BZV1
95,ENSG00000167759,Q9UKR3
96,ENSG00000167766,P51522
97,ENSG00000167986,Q16531
98,ENSG00000168310,P14316
99,ENSG00000168487,P13497
100,ENSG00000168904,Q86X40
101,ENSG00000172456,Q96C11
102,ENSG00000173041,Q8NEM1
103,ENSG00000174405,P49917
104,ENSG00000175182,Q6UXB0
105,ENSG00000175768,Q8N4H5
106,ENSG00000177105,P84095
107,ENSG00000179195,Q8N3J9
108,ENSG00000182973,Q9H9A5
109,ENSG00000183735,Q9UHD2
110,ENSG00000186073,Q9Y2V0
111,ENSG00000186104,Q6VVX0
112,ENSG00000188785,Q8NEK5
113,ENSG00000189144,Q86YE8
114,ENSG00000196586,Q9UM54
115,ENSG00000197302,Q7Z2F6
116,ENSG00000197415,Q14D04
117,ENSG00000197620,Q8TE69
118,ENSG00000198954,Q96EK5
119,ENSG00000203326,Q8N782
120,ENSG00000204179,Q4JDL3
121,ENSG00000204673,Q96B36
122,ENSG00000213160,Q8NBE8
123,ENSG00000241837,P48047
124,ENSG00000243978,Q8NET4
125,ENSG00000003147,Q05084
126,ENSG00000008517,P24001
127,ENSG00000010165,Q8N6R0
128,ENSG00000014641,P40925
129,ENSG00000023697,Q9Y315
130,ENSG00000054523,O60333
131,ENSG00000055950,Q8N983
132,ENSG00000068400,Q4V328
133,ENSG00000069493,Q9UHP7
134,ENSG00000071564,P15923
135,ENSG00000072080,Q13103
136,ENSG00000075151,O43432
137,ENSG00000080802,O95628
138,ENSG00000080823,Q9UQ07
139,ENSG00000081177,Q9NVH0
140,ENSG00000084676,Q15788
141,ENSG00000089472,Q9BQS7
142,ENSG00000091164,O43396
143,ENSG00000095794,Q03060
144,ENSG00000100129,Q9Y262
145,ENSG00000100150,O75140
146,ENSG00000100346,Q9P0X4
147,ENSG00000102195,Q13585
148,ENSG00000103024,Q13232
149,ENSG00000103653,P41240
150,ENSG00000104529,P29692
151,ENSG00000105221,P31751
152,ENSG00000105339,A2RUS2
153,ENSG00000105750,Q03923
154,ENSG00000106278,P23471
155,ENSG00000108387,O43236
156,ENSG00000108622,P13598
157,ENSG00000108799,Q92800
158,ENSG00000109323,O00462
159,ENSG00000110172,Q9UHD1
160,ENSG00000110446,Q8IY34
161,ENSG00000111364,Q8NHQ9
162,ENSG00000117407,Q5T4W7
163,ENSG00000117859,Q96SU4
164,ENSG00000118137,P02647
165,ENSG00000119616,Q9Y324
166,ENSG00000120658,Q8TC92
167,ENSG00000121410,P04217
168,ENSG00000121680,Q9Y5Y5
169,ENSG00000122188,Q8IWV1
170,ENSG00000122420,P43088
171,ENSG00000124459,Q02386
172,ENSG00000124508,Q8WVV5
173,ENSG00000124523,Q9NXA8
174,ENSG00000125046,Q9Y2M2
175,ENSG00000125107,A5YKK6
176,ENSG00000125304,Q99805
177,ENSG00000125731,Q9BRG2
178,ENSG00000126264,Q9UBK5
179,ENSG00000128805,Q7Z5H3
180,ENSG00000129152,P15172
181,ENSG00000130021,Q08623
182,ENSG00000130559,Q5T5Y3
183,ENSG00000131196,O95644
184,ENSG00000133835,P51659
185,ENSG00000134545,P26715
186,ENSG00000134548,Q9BT56
187,ENSG00000135373,Q9NZC4
188,ENSG00000136021,Q6P3W7
189,ENSG00000136631,Q9NRW7
190,ENSG00000137843,Q9NQU5
191,ENSG00000139793,Q5VZF2
192,ENSG00000140299,Q12982
193,ENSG00000140694,O95453
194,ENSG00000141437,Q3SY17
195,ENSG00000141527,Q9BXL6
196,ENSG00000141551,P48730
197,ENSG00000142082,Q9NTG7
198,ENSG00000144741,Q70HW3
199,ENSG00000145384,P12104
200,ENSG00000146109,Q9ULW3
201,ENSG00000147224,P60891
202,ENSG00000147642,Q9NX95
203,ENSG00000149212,P58005
204,ENSG00000153044,Q9H3R5
205,ENSG00000156709,O95831
206,ENSG00000157766,P16112
207,ENSG00000157884,A0PJX0
208,ENSG00000159761,Q6ZW13
209,ENSG00000160223,O75144
210,ENSG00000162739,Q96DU3
211,ENSG00000164362,O14746
212,ENSG00000164430,Q8N884
213,ENSG00000164483,Q8N6K7
214,ENSG00000166226,P78371
215,ENSG00000166682,Q9H3S3
216,ENSG00000166762,Q96P56
217,ENSG00000167257,Q8ND24
218,ENSG00000168356,Q9UI33
219,ENSG00000168481,Q8N145
220,ENSG00000169247,Q8TF17
221,ENSG00000170445,P12081
222,ENSG00000171502,Q17RW2
223,ENSG00000171960,O43447
224,ENSG00000172116,P10966
225,ENSG00000172171,Q96QE5
226,ENSG00000174628,Q8N0W5
227,ENSG00000175183,Q16527
228,ENSG00000177380,O75145
229,ENSG00000177427,Q96C03
230,ENSG00000179600,Q86YW7
231,ENSG00000182698,Q5W5W9
232,ENSG00000183117,Q96PZ7
233,ENSG00000183671,P46091
234,ENSG00000185674,Q86SG7
235,ENSG00000185787,Q9UBU8
236,ENSG00000187048,Q02928
237,ENSG00000187730,O14764
238,ENSG00000187838,Q9NRY6
239,ENSG00000196218,P21817
240,ENSG00000197635,P27487
241,ENSG00000197992,Q6UXN8
242,ENSG00000198521,P17038
243,ENSG00000203705,Q17R31
244,ENSG00000204438,O95872
245,ENSG00000214046,Q9BQ49
246,ENSG00000226929,Q5JQC4
247,ENSG00000228623,P0CG24
248,ENSG00000243678,P22392
249,ENSG00000253710,Q2TAA5
250,ENSG00000259207,P05106
251,ENSG00000275835,Q96RT8
252,ENSG00000011566,Q8IVH8
253,ENSG00000026751,Q9NQ25
254,ENSG00000044459,Q9NXG0
255,ENSG00000060718,P12107
256,ENSG00000064989,Q16602
257,ENSG00000068615,Q9H902
258,ENSG00000072518,Q7KZI7
259,ENSG00000075340,P35612
260,ENSG00000077380,Q13409
261,ENSG00000081148,Q9BZV3
262,ENSG00000083312,Q92973
263,ENSG00000087087,Q9BXP5
264,ENSG00000089693,Q15773
265,ENSG00000090054,O15269
266,ENSG00000095585,Q8WV28
267,ENSG00000099849,Q02833
268,ENSG00000100099,Q9NQG7
269,ENSG00000100298,Q6NTF7
270,ENSG00000100722,Q6PJT7
271,ENSG00000101152,Q9H3Z4
272,ENSG00000101901,Q9NP73
273,ENSG00000102901,Q96BT3
274,ENSG00000103202,O00746
275,ENSG00000103275,P63279
276,ENSG00000104856,Q01201
277,ENSG00000105711,Q07699
278,ENSG00000105835,P43490
279,ENSG00000106244,Q13442
280,ENSG00000106682,Q15056
281,ENSG00000106780,Q9H1U4
282,ENSG00000108669,Q15438
283,ENSG00000109794,A5PLN7
284,ENSG00000110066,Q4FZB7
285,ENSG00000112742,P33981
286,ENSG00000114416,P51114
287,ENSG00000118513,P10242
288,ENSG00000119509,Q9Y283
289,ENSG00000119812,Q8NCA5
290,ENSG00000121690,Q96QD5
291,ENSG00000121940,Q96S66
292,ENSG00000122696,Q9H1U9
293,ENSG00000123992,Q9ULA0
294,ENSG00000124225,Q969W9
295,ENSG00000125447,Q9NZ52
296,ENSG00000127418,Q8N441
297,ENSG00000132002,P25685
298,ENSG00000132341,P62826
299,ENSG00000132554,Q8NE09
300,ENSG00000132563,Q9BRK0
301,ENSG00000133742,P00915
302,ENSG00000133997,O75586
303,ENSG00000134247,Q9P2B2
304,ENSG00000136897,Q8N5N7
305,ENSG00000137074,Q7Z2E3
306,ENSG00000137094,O75953
307,ENSG00000137502,Q15771
308,ENSG00000137804,Q9BXS6
309,ENSG00000138629,Q96S82
310,ENSG00000138821,Q9C0K1
311,ENSG00000139211,Q86SJ2
312,ENSG00000143337,Q5JTV8
313,ENSG00000143776,Q5VT25
314,ENSG00000146926,Q8WXI3
315,ENSG00000148343,Q7L4E1
316,ENSG00000148826,Q9C056
317,ENSG00000149131,P05155
318,ENSG00000149474,Q9H8E8
319,ENSG00000155256,Q5T4F4
320,ENSG00000155666,Q8N371
321,ENSG00000156689,Q8WU03
322,ENSG00000157349,Q9UMR2
323,ENSG00000157554,P11308
324,ENSG00000158423,Q8N443
325,ENSG00000160953,Q2TAK8
326,ENSG00000162687,Q6UVM3
327,ENSG00000163349,Q86Z02
328,ENSG00000163913,Q9HBG6
329,ENSG00000164022,Q12904
330,ENSG00000165280,P55072
331,ENSG00000165732,Q9NR30
332,ENSG00000166352,Q86VG3
333,ENSG00000166926,Q96DS6
334,ENSG00000167751,P20151
335,ENSG00000168002,P62487
336,ENSG00000168453,O43593
337,ENSG00000168476,Q9H6H4
338,ENSG00000168724,Q5F1R6
339,ENSG00000169967,Q9Y2U5
340,ENSG00000170054,Q86WD7
341,ENSG00000170122,Q12950
342,ENSG00000170315,P0CG47
343,ENSG00000170935,A6PVI3
344,ENSG00000170954,Q09FC8
345,ENSG00000171827,Q96NI8
346,ENSG00000172469,Q5SRI9
347,ENSG00000174586,Q6ZNH5
348,ENSG00000179213,Q8N7X8
349,ENSG00000180613,Q9BZM3
350,ENSG00000182552,Q6NW29
351,ENSG00000186854,Q86V40
352,ENSG00000186951,Q07869
353,ENSG00000187733,P0DTE8
354,ENSG00000188385,Q5VZ66
355,ENSG00000188389,Q15116
356,ENSG00000189143,O14493
357,ENSG00000196091,Q00872
358,ENSG00000196503,Q6T311
359,ENSG00000196653,Q8TBZ5
360,ENSG00000197021,Q96DE9
361,ENSG00000197345,Q7Z2W9
362,ENSG00000197548,O95352
363,ENSG00000198561,O60716
364,ENSG00000198967,Q8NGY1
365,ENSG00000204344,P49842
366,ENSG00000204482,O00453
367,ENSG00000205238,Q495Y8
368,ENSG00000205838,Q6PF05
369,ENSG00000213066,O95684
370,ENSG00000221988,Q9UMR5
371,ENSG00000233024,A0A0B4J1W7
372,ENSG00000260916,Q9ULG6
373,ENSG00000267041,A8MQ14
374,ENSG00000269335,Q9Y6K9
375,ENSG00000274070,A6NHX0
376,ENSG00000276581,Q5VU36
377,ENSG00000284770,Q15813
378,ENSG00000005302,Q8N5Y2
379,ENSG00000005483,Q8IZD2
380,ENSG00000006788,Q9UKX3
381,ENSG00000008277,Q9P0K1
382,ENSG00000009724,O00187
383,ENSG00000050165,Q9UBP4
384,ENSG00000058262,P61619
385,ENSG00000063177,Q07020
386,ENSG00000069020,O15021
387,ENSG00000069424,Q13303
388,ENSG00000077684,Q6IE81
389,ENSG00000087191,P62195
390,ENSG00000100554,Q9Y5K8
391,ENSG00000100568,Q9UEU0
392,ENSG00000100726,Q9Y4R8
393,ENSG00000101076,P41235
394,ENSG00000101935,Q9Y4X0
395,ENSG00000102003,P08247
396,ENSG00000102145,P15976
397,ENSG00000103495,P56270
398,ENSG00000105723,P49840
399,ENSG00000107719,Q9ULE6
400,ENSG00000108506,Q9H0H0
401,ENSG00000109103,Q13432
402,ENSG00000112855,P49590
403,ENSG00000114573,P38606
404,ENSG00000114812,P32241
405,ENSG00000115204,P39210
406,ENSG00000118961,Q9H6V9
407,ENSG00000119408,Q9HC98
408,ENSG00000122008,Q9UBT6
409,ENSG00000124596,Q9Y530
410,ENSG00000124786,Q9H1N7
411,ENSG00000126524,Q9Y3A5
412,ENSG00000126561,P42229
413,ENSG00000127990,O43556
414,ENSG00000129219,O14939
415,ENSG00000129493,Q86XA9
416,ENSG00000130294,Q12756
417,ENSG00000130429,O15143
418,ENSG00000130741,P41091
419,ENSG00000131044,Q3SXZ7
420,ENSG00000132359,Q684P5
421,ENSG00000134744,Q5TAX3
422,ENSG00000135316,O60506
423,ENSG00000137154,P62753
424,ENSG00000137414,Q9UBU6
425,ENSG00000137959,Q53G44
426,ENSG00000138068,Q6IMI4
427,ENSG00000138434,P28290
428,ENSG00000138670,Q0VAM2
429,ENSG00000138760,Q14108
430,ENSG00000139160,Q8IXQ9
431,ENSG00000139517,Q8N448
432,ENSG00000140650,O15305
433,ENSG00000142178,P57059
434,ENSG00000142185,O94759
435,ENSG00000144366,Q9UBP9
436,ENSG00000144426,Q6ZS30
437,ENSG00000145736,Q13888
438,ENSG00000147364,Q8TCJ0
439,ENSG00000147576,Q8IWW8
440,ENSG00000147601,P54274
441,ENSG00000148700,Q9UEY8
442,ENSG00000150977,Q969X0
443,ENSG00000151093,Q9NWU1
444,ENSG00000151338,Q8TD10
445,ENSG00000151611,Q8IVH4
446,ENSG00000151838,P0C221
447,ENSG00000152242,Q96B23
448,ENSG00000152601,Q9NR56
449,ENSG00000152942,O75943
450,ENSG00000153234,P43354
451,ENSG00000155085,Q5TCS8
452,ENSG00000155366,P08134
453,ENSG00000155875,Q8IYX7
454,ENSG00000160285,P48449
455,ENSG00000161204,Q9NUQ8
456,ENSG00000163519,Q6PIZ9
457,ENSG00000164144,P53367
458,ENSG00000164794,Q6PIU1
459,ENSG00000165671,Q96L73
460,ENSG00000167476,Q96MG2
461,ENSG00000167525,Q8NCQ7
462,ENSG00000169507,Q08AI6
463,ENSG00000169570,Q8NBA8
464,ENSG00000170417,Q6ZP80
465,ENSG00000170959,M0R2J8
466,ENSG00000171453,O15160
467,ENSG00000172269,Q9H3H5
468,ENSG00000172977,Q92993
469,ENSG00000173285,Q8NGX5
470,ENSG00000174231,Q6P2Q9
471,ENSG00000176809,O60309
472,ENSG00000178105,Q13206
473,ENSG00000178252,Q9NNW5
474,ENSG00000178982,Q9UBQ5
475,ENSG00000179023,Q5VTJ3
476,ENSG00000179094,O15534
477,ENSG00000179832,Q8NDA8
478,ENSG00000181019,P15559
479,ENSG00000181991,P82912
480,ENSG00000182199,P34897
481,ENSG00000183032,Q9BQT8
482,ENSG00000183722,Q9Y693
483,ENSG00000183793,E9PKD4
484,ENSG00000184428,Q969P6
485,ENSG00000185105,A6NDP7
486,ENSG00000185238,O60678
487,ENSG00000185651,P68036
488,ENSG00000185947,Q14586
489,ENSG00000187848,Q9UBL9
490,ENSG00000188219,Q6S8J3
491,ENSG00000189320,Q6UWF9
492,ENSG00000196365,P36776
493,ENSG00000197008,P52744
494,ENSG00000197044,Q8N8Z8
495,ENSG00000197150,Q9NUT2
496,ENSG00000198056,P49642
497,ENSG00000204120,Q6Y7W6
498,ENSG00000213096,O75437
499,ENSG00000213199,Q9UHC3
500,ENSG00000214160,Q92685
501,ENSG00000215717,Q9NRX6
502,ENSG00000216937,Q96M83
503,ENSG00000244486,Q96GP6
504,ENSG00000250844,D6R9N7
505,ENSG00000268104,Q9UN76
506,ENSG00000005882,Q15119
507,ENSG00000010319,Q9NS98
508,ENSG00000011275,Q9NWF9
509,ENSG00000046604,Q14126
510,ENSG00000066468,P21802
511,ENSG00000068024,P56524
512,ENSG00000074054,Q7Z460
513,ENSG00000075089,Q9GZN1
514,ENSG00000075391,Q9UJF2
515,ENSG00000078369,P62873
516,ENSG00000081665,Q5JVG8
517,ENSG00000085871,Q99735
518,ENSG00000087586,O14965
519,ENSG00000090857,Q8NCN5
520,ENSG00000095383,Q9BYX2
521,ENSG00000099341,P48556
522,ENSG00000100462,O14744
523,ENSG00000100603,Q13573
524,ENSG00000101421,Q9H444
525,ENSG00000101812,P0C1H6
526,ENSG00000102100,P78381
527,ENSG00000102119,P50402
528,ENSG00000103168,Q15572
529,ENSG00000105146,Q9UQB9
530,ENSG00000110911,P49281
531,ENSG00000112699,O60547
532,ENSG00000113391,Q8WUF8
533,ENSG00000113889,P01042
534,ENSG00000114942,P24534
535,ENSG00000115275,Q13724
536,ENSG00000115839,Q15042
537,ENSG00000115875,Q16629
538,ENSG00000116539,Q9NR48
539,ENSG00000120251,P42262
540,ENSG00000120949,P28908
541,ENSG00000122545,Q16181
542,ENSG00000125812,Q9H116
543,ENSG00000125846,P52736
544,ENSG00000128284,O95236
545,ENSG00000128340,P15153
546,ENSG00000128595,O43852
547,ENSG00000131115,Q86WZ6
548,ENSG00000131238,P50897
549,ENSG00000132589,Q14254
550,ENSG00000133105,Q8WXD0
551,ENSG00000133424,O95461
552,ENSG00000134539,Q13241
553,ENSG00000136381,P48200
554,ENSG00000136521,O43674
555,ENSG00000137747,Q9BYE2
556,ENSG00000137936,O75815
557,ENSG00000140379,Q16548
558,ENSG00000140798,Q96J65
559,ENSG00000141052,Q8IZQ8
560,ENSG00000141977,Q96Q77
561,ENSG00000142751,Q9H9Y4
562,ENSG00000144357,Q6ZT12
563,ENSG00000145685,Q6ZUX7
564,ENSG00000146757,Q03936
565,ENSG00000147789,P17097
566,ENSG00000149451,Q9BZ11
567,ENSG00000149573,O60487
568,ENSG00000149792,Q13405
569,ENSG00000150768,P10515
570,ENSG00000151475,Q9H0C2
571,ENSG00000151577,P35462
572,ENSG00000152578,P48058
573,ENSG00000157653,Q8TAL5
574,ENSG00000157869,P51157
575,ENSG00000158669,Q86UL3
576,ENSG00000159763,P12273
577,ENSG00000159784,Q86XD5
578,ENSG00000161277,Q8NA92
579,ENSG00000163017,P63267
580,ENSG00000165478,Q14CZ8
581,ENSG00000166797,Q9H5X1
582,ENSG00000167194,Q96LL3
583,ENSG00000167210,Q8IVV2
584,ENSG00000167740,Q8WUJ1
585,ENSG00000168036,P35222
586,ENSG00000168137,Q9C0A6
587,ENSG00000168484,P11686
588,ENSG00000168610,P40763
589,ENSG00000168795,O15062
590,ENSG00000169398,Q05397
591,ENSG00000169684,P30532
592,ENSG00000171421,Q9P0J6
593,ENSG00000172780,Q86YS6
594,ENSG00000173039,Q04206
595,ENSG00000173261,A1L4L8
596,ENSG00000175309,Q8IUZ5
597,ENSG00000177551,Q02577
598,ENSG00000177910,B4DYI2
599,ENSG00000177981,Q9H765
600,ENSG00000178974,Q9NWN3
601,ENSG00000181856,P14672
602,ENSG00000183137,Q8IYX8
603,ENSG00000183840,O43194
604,ENSG00000185024,Q92994
605,ENSG00000185046,Q7Z6G8
606,ENSG00000187764,Q92854
607,ENSG00000188921,Q5VWC8
608,ENSG00000189057,Q6SJ93
609,ENSG00000189067,Q99732
610,ENSG00000196072,Q6QNY1
611,ENSG00000196152,Q15937
612,ENSG00000196684,Q96JZ2
613,ENSG00000197043,P08133
614,ENSG00000198862,O94822
615,ENSG00000204305,Q15109
616,ENSG00000205116,A6NKF7
617,ENSG00000205669,Q3I5F7
618,ENSG00000213760,O95670
619,ENSG00000213967,A6NNF4
620,ENSG00000214026,Q16540
621,ENSG00000219545,C9J7I0
622,ENSG00000228696,Q8IVW1
623,ENSG00000232388,A0A096LP01
624,ENSG00000232399,C9JLJ4
625,ENSG00000243566,Q9BT76
626,ENSG00000257591,Q96I27
627,ENSG00000283329,A0A1B0GVZ2
628,ENSG00000283361,A0A1B0GU71
629,ENSG00000291237,P04179
630,ENSG00000005175,Q9H6T3
631,ENSG00000008086,O76039
632,ENSG00000008441,Q14938
633,ENSG00000010704,Q30201
634,ENSG00000019582,P04233
635,ENSG00000052841,Q96AE7
